[2026-04-11T02:42:56.141Z] GET http://localhost:3000/911-map → 200 (131ms, ?B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (151ms, 2932152B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (60ms, 149252B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (60ms, 39778B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (60ms, 506B)
[2026-04-11T02:47:21.727Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (61ms, 206B)
[2026-04-11T02:47:21.791Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (22ms, 15433B)
[2026-04-11T02:47:21.791Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (21ms, 288B)
[2026-04-11T02:47:21.825Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-04-11T02:47:21.826Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:21.956Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:47:21.957Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (9ms, 15566B)
[2026-04-11T02:47:21.972Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (11ms, 15503B)
[2026-04-11T02:47:34.050Z] GET http://localhost:3000/911-map → 200 (151ms, 37995B)
[2026-04-11T02:47:34.203Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (2ms, ?B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (3ms, 218601B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (3ms, 43704B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (3ms, 671B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (56ms, 1047866B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (10ms, 171046B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (57ms, 816039B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (17ms, 144411B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (41ms, 621043B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (23ms, 208383B)
[2026-04-11T02:47:34.205Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (18ms, 1979B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (17ms, 783B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (26ms, 74970B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (29ms, 126668B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (27ms, 262B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (32ms, 26946B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (33ms, 296B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (54ms, 222679B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (142ms, 2932152B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (54ms, 149252B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (55ms, 39778B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (55ms, 506B)
[2026-04-11T02:47:34.206Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (55ms, 206B)
[2026-04-11T02:47:34.263Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (24ms, 15433B)
[2026-04-11T02:47:34.264Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (22ms, 288B)
[2026-04-11T02:47:34.288Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:34.288Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (1ms, ?B)
[2026-04-11T02:47:34.427Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:47:34.430Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (7ms, 15566B)
[2026-04-11T02:47:34.443Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (8ms, 15503B)
[2026-04-11T02:47:56.723Z] GET http://localhost:3000/911-map → 200 (43ms, 37993B)
[2026-04-11T02:47:56.768Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (2ms, ?B)
[2026-04-11T02:47:56.770Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:56.770Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:56.772Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (5ms, 218601B)
[2026-04-11T02:47:56.772Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (5ms, 43704B)
[2026-04-11T02:47:56.772Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (4ms, 671B)
[2026-04-11T02:47:56.772Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (60ms, 1047866B)
[2026-04-11T02:47:56.772Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (13ms, 171046B)
[2026-04-11T02:47:56.772Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (59ms, 816039B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (26ms, 144411B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (42ms, 621043B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (26ms, 208383B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (26ms, 1979B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (26ms, 783B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (27ms, 74970B)
[2026-04-11T02:47:56.773Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (34ms, 126668B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (25ms, 262B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (33ms, 26946B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (33ms, 296B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (40ms, 222679B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (147ms, 2932152B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (41ms, 149252B)
[2026-04-11T02:47:56.775Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (56ms, 39778B)
[2026-04-11T02:47:56.776Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (55ms, 506B)
[2026-04-11T02:47:56.776Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (55ms, 206B)
[2026-04-11T02:47:56.834Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (22ms, 15433B)
[2026-04-11T02:47:56.834Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (22ms, 288B)
[2026-04-11T02:47:56.858Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:56.859Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:47:56.998Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:47:57.001Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (11ms, 15566B)
[2026-04-11T02:47:57.018Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (9ms, 15503B)
[2026-04-11T02:53:00.159Z] GET http://localhost:3000/911-map → 200 (230ms, 37997B)
[2026-04-11T02:53:00.392Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.dbea232f.woff2 → 200 (?ms, ?B)
[2026-04-11T02:53:00.392Z] GET http://localhost:3000/_next/static/media/GreatVibes_Regular-s.p.71a17db8.woff2 → 200 (1ms, ?B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2 → 200 (?ms, ?B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__21e188c1._.css → 200 (5ms, 218601B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_9438b0bd.css → 200 (5ms, 43704B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_956a0d3a._.js → 200 (5ms, 671B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_1e674e59._.js → 200 (67ms, 1047866B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_9212ccad._.js → 200 (18ms, 171046B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_1dd7fb59.js → 200 (66ms, 816039B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_a0e4c7b4._.js → 200 (19ms, 144411B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_17643121._.js → 200 (47ms, 621043B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js → 200 (29ms, 208383B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_d80fb378._.js → 200 (22ms, 1979B)
[2026-04-11T02:53:00.393Z] GET http://localhost:3000/_next/static/chunks/_a0ff3932._.js → 200 (23ms, 783B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/turbopack-_23a915ee._.js → 200 (35ms, 74970B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_be32b49c._.js → 200 (36ms, 126668B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_745fddaf._.js → 200 (35ms, 262B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/_c0019501._.js → 200 (40ms, 26946B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/app_layout_tsx_1cf6b850._.js → 200 (37ms, 296B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/_1a4bce86._.js → 200 (64ms, 222219B)
[2026-04-11T02:53:00.394Z] GET http://localhost:3000/_next/static/chunks/node_modules_mapbox-gl_dist_mapbox-gl_b0bb8555.js → 200 (239ms, 2932152B)
[2026-04-11T02:53:00.396Z] GET http://localhost:3000/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_56b6fd65._.js → 200 (62ms, 149252B)
[2026-04-11T02:53:00.396Z] GET http://localhost:3000/_next/static/chunks/node_modules_63b90822._.js → 200 (62ms, 39778B)
[2026-04-11T02:53:00.396Z] GET http://localhost:3000/_next/static/chunks/app_911-map_page_tsx_1f9d154b._.js → 200 (62ms, 506B)
[2026-04-11T02:53:00.396Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_1cf6b850.js → 200 (63ms, 206B)
[2026-04-11T02:53:00.463Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (42ms, 15433B)
[2026-04-11T02:53:00.464Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c7192189._.js → 200 (41ms, 288B)
[2026-04-11T02:53:00.466Z] GET http://localhost:3000/__nextjs_font/geist-latin.woff2 → 200 (1ms, ?B)
[2026-04-11T02:53:00.467Z] GET http://localhost:3000/__nextjs_font/geist-mono-latin.woff2 → 200 (?ms, ?B)
[2026-04-11T02:53:00.718Z] GET http://localhost:3000/api/gta-incidents?window=3 → pending (?ms, ?B)
[2026-04-11T02:53:00.723Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (11ms, 14501B)
[2026-04-11T02:53:00.742Z] POST http://localhost:3000/__nextjs_original-stack-frames → 200 (7ms, 14438B)
[2026-04-11T02:58:23.414Z] GET http://localhost:3000/911-map → pending (?ms, ?B)
